agent_id,period,metric,icp_client,site,numerator,denominator,calc
675086,2026-02-22,crt,PSS-Verizon,panthers,9970.0,5.0,1994.0
694479,2026-02-24,crt,PSS-Verizon,raptors,19200.0,8.0,2400.0
701209,2026-02-24,crt,PSS-Verizon,raptors,20848.0,14.0,1489.143
364219,2026-02-23,crt,PSS-Verizon,mustangs,18370.0,10.0,1837.0
591152,2026-02-23,crt,PSS-Verizon,raptors,20955.0,12.0,1746.25
572650,2026-02-23,crt,PSS-Verizon,panthers,13461.0,7.0,1923.0
694475,2026-02-23,crt,PSS-Verizon,raptors,13490.0,10.0,1349.0
551004,2026-02-23,crt,PSS-Verizon,turtles,12105.0,12.0,1008.75
673853,2026-02-23,crt,PSS-Verizon,turtles,8542.0,5.0,1708.4
698079,2026-02-20,crt,PSS-Verizon,panthers,18718.0,10.0,1871.8
649625,2026-02-22,crt,PSS-Verizon,raptors,14676.0,8.0,1834.5
551004,2026-02-24,crt,PSS-Verizon,turtles,7356.0,7.0,1050.857
702972,2026-02-24,crt,PSS-Verizon,panthers trn,18262.0,9.0,2029.111
570764,2026-02-23,crt,PSS-Verizon,turtles,9932.0,7.0,1418.857
696780,2026-02-23,crt,PSS-Verizon,bears,17338.0,12.0,1444.833
702775,2026-02-23,crt,PSS-Verizon,turtles,24266.0,16.0,1516.625
704089,2026-02-20,crt,PSS-Verizon,raptors trn,20958.0,10.0,2095.8
692958,2026-02-20,crt,PSS-Verizon,raptors,22456.0,9.0,2495.111
667006,2026-02-20,crt,PSS-Verizon,raptors,22244.0,13.0,1711.077
672605,2026-02-21,crt,PSS-Verizon,panthers,15797.0,6.0,2632.833
694373,2026-02-21,crt,PSS-Verizon,panthers,11168.0,12.0,930.667
655323,2026-02-22,crt,PSS-Verizon,raptors,18631.0,12.0,1552.583
675242,2026-02-22,crt,PSS-Verizon,raptors,11605.0,6.0,1934.167
705147,2026-02-24,crt,PSS-Verizon,raptors trn,15819.0,9.0,1757.667
693428,2026-02-23,crt,PSS-Verizon,raptors,2757.0,5.0,551.4
689881,2026-02-25,crt,PSS-Verizon,panthers,11515.0,8.0,1439.375
572650,2026-02-21,crt,PSS-Verizon,panthers,8386.0,6.0,1397.667
670403,2026-02-21,crt,PSS-Verizon,turtles,19136.0,15.0,1275.733
701278,2026-02-21,crt,PSS-Verizon,bears,20347.0,9.0,2260.778
693428,2026-02-22,crt,PSS-Verizon,raptors,19700.0,15.0,1313.333
692958,2026-02-24,crt,PSS-Verizon,raptors,18765.0,9.0,2085.0
705218,2026-02-23,crt,PSS-Verizon,turtles trn,20283.0,6.0,3380.5
672605,2026-02-23,crt,PSS-Verizon,panthers,17273.0,8.0,2159.125
667006,2026-02-23,crt,PSS-Verizon,raptors,18529.0,13.0,1425.308
690884,2026-02-25,crt,PSS-Verizon,mustangs,12837.0,10.0,1283.7
574374,2026-02-21,crt,PSS-Verizon,turtles,18626.0,17.0,1095.647
669849,2026-02-21,crt,PSS-Verizon,raptors,9588.0,3.0,3196.0
705147,2026-02-22,crt,PSS-Verizon,raptors trn,17670.0,14.0,1262.143
694373,2026-02-22,crt,PSS-Verizon,panthers,18372.0,12.0,1531.0
570764,2026-02-24,crt,PSS-Verizon,turtles,13504.0,8.0,1688.0
688914,2026-02-24,crt,PSS-Verizon,panthers,14322.0,9.0,1591.333
679927,2026-02-24,crt,PSS-Verizon,turtles,17371.0,9.0,1930.111
693126,2026-02-23,crt,PSS-Verizon,panthers,14972.0,8.0,1871.5
702972,2026-02-25,crt,PSS-Verizon,panthers trn,16143.0,16.0,1008.938
591152,2026-02-25,crt,PSS-Verizon,raptors,19866.0,10.0,1986.6
669849,2026-02-20,crt,PSS-Verizon,raptors,20777.0,5.0,4155.4
699291,2026-02-21,crt,PSS-Verizon,panthers,16548.0,14.0,1182.0
702775,2026-02-21,crt,PSS-Verizon,turtles trn,16959.0,12.0,1413.25
591152,2026-02-22,crt,PSS-Verizon,raptors,19258.0,4.0,4814.5
694711,2026-02-23,crt,PSS-Verizon,turtles,24580.0,13.0,1890.769
672466,2026-02-23,crt,PSS-Verizon,panthers,10660.0,7.0,1522.857
702973,2026-02-25,crt,PSS-Verizon,panthers trn,18986.0,17.0,1116.824
570764,2026-02-25,crt,PSS-Verizon,turtles,8035.0,5.0,1607.0
675242,2026-02-20,crt,PSS-Verizon,raptors,17836.0,11.0,1621.455
696780,2026-02-20,crt,PSS-Verizon,bears,20239.0,11.0,1839.909
673853,2026-02-21,crt,PSS-Verizon,turtles,13519.0,8.0,1689.875
687083,2026-02-22,crt,PSS-Verizon,raptors,19446.0,11.0,1767.818
649625,2026-02-24,crt,PSS-Verizon,raptors,15703.0,7.0,2243.286
694475,2026-02-24,crt,PSS-Verizon,raptors,20455.0,9.0,2272.778
701024,2026-02-24,crt,PSS-Verizon,mustangs,13130.0,8.0,1641.25
704548,2026-02-23,crt,PSS-Verizon,panthers trn,13543.0,6.0,2257.167
503666,2026-02-23,crt,PSS-Verizon,turtles,8461.0,7.0,1208.714
704100,2026-02-25,crt,PSS-Verizon,raptors trn,21537.0,8.0,2692.125
693428,2026-02-25,crt,PSS-Verizon,raptors,7060.0,5.0,1412.0
702694,2026-02-25,crt,PSS-Verizon,raptors,17447.0,13.0,1342.077
503927,2026-02-25,crt,PSS-Verizon,turtles,12769.0,11.0,1160.818
693126,2026-02-25,crt,PSS-Verizon,panthers,12204.0,13.0,938.769
702972,2026-02-20,crt,PSS-Verizon,panthers trn,21602.0,14.0,1543.0
704548,2026-02-20,crt,PSS-Verizon,panthers trn,15102.0,11.0,1372.909
702973,2026-02-20,crt,PSS-Verizon,panthers trn,16473.0,10.0,1647.3
667006,2026-02-21,crt,PSS-Verizon,raptors,20212.0,12.0,1684.333
701944,2026-02-21,crt,PSS-Verizon,panthers,20497.0,12.0,1708.083
702634,2026-02-21,crt,PSS-Verizon,raptors trn,18873.0,9.0,2097.0
700528,2026-02-22,crt,PSS-Verizon,turtles,18314.0,14.0,1308.143
701576,2026-02-24,crt,PSS-Verizon,panthers,23867.0,17.0,1403.941
702651,2026-02-24,crt,PSS-Verizon,raptors,14669.0,12.0,1222.417
690475,2026-02-25,crt,PSS-Verizon,bears,8240.0,10.0,824.0
678509,2026-02-25,crt,PSS-Verizon,raptors,21805.0,9.0,2422.778
572650,2026-02-25,crt,PSS-Verizon,panthers,3273.0,4.0,818.25
672466,2026-02-22,crt,PSS-Verizon,panthers,8397.0,5.0,1679.4
701278,2026-02-22,crt,PSS-Verizon,bears,21856.0,13.0,1681.231
679929,2026-02-24,crt,PSS-Verizon,turtles,19702.0,11.0,1791.091
674082,2026-02-23,crt,PSS-Verizon,panthers,12550.0,9.0,1394.444
636729,2026-02-25,crt,PSS-Verizon,raptors,23553.0,10.0,2355.3
699291,2026-02-25,crt,PSS-Verizon,panthers,17144.0,14.0,1224.571
364219,2026-02-25,crt,PSS-Verizon,mustangs,19597.0,15.0,1306.467
679927,2026-02-25,crt,PSS-Verizon,turtles,14080.0,10.0,1408.0
701576,2026-02-20,crt,PSS-Verizon,panthers,24884.0,21.0,1184.952
701209,2026-02-21,crt,PSS-Verizon,raptors,19017.0,7.0,2716.714
665812,2026-02-21,crt,PSS-Verizon,raptors,9034.0,6.0,1505.667
674082,2026-02-22,crt,PSS-Verizon,panthers,18230.0,12.0,1519.167
705443,2026-02-24,crt,PSS-Verizon,panthers trn,9267.0,9.0,1029.667
688914,2026-02-23,crt,PSS-Verizon,panthers,12321.0,10.0,1232.1
694479,2026-02-23,crt,PSS-Verizon,raptors,16346.0,11.0,1486.0
689881,2026-02-23,crt,PSS-Verizon,panthers,22305.0,9.0,2478.333
701576,2026-02-25,crt,PSS-Verizon,panthers,23812.0,20.0,1190.6
679517,2026-02-25,crt,PSS-Verizon,turtles,20482.0,16.0,1280.125
701278,2026-02-20,crt,PSS-Verizon,bears,19663.0,23.0,854.913
503927,2026-02-20,crt,PSS-Verizon,turtles,16339.0,4.0,4084.75
703084,2026-02-21,crt,PSS-Verizon,panthers trn,18238.0,10.0,1823.8
704564,2026-02-21,crt,PSS-Verizon,panthers trn,18661.0,13.0,1435.462
